28.25,17
28.5,19
33.45,12
6.0,3
7.0,2
8.0,4
9.0,7
10.0,3
11.0,1
12.0,4
13.0,7
14.0,1
15.0,2
16.0,4
17.0,4
18.0,6
19.0,6
20.0,14
21.0,9
22.0,7
23.0,4
24.0,6
25.0,7
26.0,11
27.0,15
28.0,11
29.0,19
30.0,16
31.0,10
32.0,7
33.0,10
34.0,12
35.0,10
36.0,3
37.0,2
38.0,1
39.0,2
40.0,7
41.0,13
42.0,14
43.0,16
44.0,13
45.0,12
46.0,8
47.0,6
48.0,3
49.0,2
50.0,1
18.79,6
47.16,5
9.62,6
15.82,5
20.43,11
10.44,2
43.24,14
8.64,4
22.07,6
37.72,2
20.81,7
9.46,8
31.71,5
29.97,16
6.36,7
11.26,1
8.08,4
17.35,6
8.9,8
9.72,6
29.27,17
46.77,6
11.58,1
47.51,4
40.31,8
43.59,14
30.89,13
34.7,12
22.88,3
34.02,12
30.91,13
31.23,9
44.63,12
28.57,18
43.54,13
6.6,4
44.58,12
9.06,6
27.14,15
47.86,4
16.38,3
28.78,18
22.42,4
30.43,14
7.01,2
7.42,7
18.02,6
5.83,10
19.66,9
6.24,7
41.7,13
32.75,9
21.3,11
22.94,4
48.21,2
6.65,3
25.46,10
33.62,12
39.41,2
42.69,15
18.47,4
38.77,2
16.73,2
49.25,2
20.11,15
19.81,9
26.16,9
14.95,2
31.09,9
45.28,8
24.73,8
39.76,3
32.56,9
15.96,4
15.77,3
20.33,12
12.59,6
21.97,7
26.37,9
43.04,14
13.41,4
31.61,6
20.01,15
46.32,7
10.23,2
33.6,12
36.88,2
16.03,4
49.55,1
46.82,6
11.05,1
17.25,6
10.6,1
32.15,7
19.07,5
36.83,2
40.11,8
43.39,13
46.67,6
19.72,9
20.71,10
33.95,10
18.37,5
46.62,6
49.9,1
25.4,9
40.46,8
46.27,8
14.13,1
26.2,8
43.32,13
19.04,5
47.66,4
13.93,3
28.68,18
43.74,15
22.32,6
38.22,1
47.02,6
31.96,6
34.03,12
5.95,6
17.6,7
10.4,2
44.73,12
37.53,4
48.01,3
40.81,10
44.09,13
22.52,4
27.41,16
33.96,10
38.57,2
32.08,7
41.85,14
45.13,10
44.23,13
41.8,14
16.3,3
12.28,7
30.18,17
9.1,6
31.74,6
45.08,11
13.92,3
22.99,4
19.39,7
32.36,9
14.74,1
